senate	1.3679234E-4
costs	1.3665699E-4
section	1.363863E-4
approach	1.363863E-4
space	1.3634117E-4
worth	1.3620582E-4
cause	1.3620582E-4
hit	1.361156E-4
board	1.3579978E-4
binding	1.3575467E-4
began	1.3575467E-4
complex	1.3566444E-4
previously	1.3543885E-4
british	1.3512305E-4
experience	1.3489746E-4
sites	1.3485234E-4
sex	1.3485234E-4
french	1.3480723E-4
strong	1.3467188E-4
series	1.344914E-4
rest	1.3413049E-4
soon	1.3408536E-4
rna	1.339049E-4
nearly	1.3376956E-4
poor	1.3349886E-4
husband	1.3349886E-4
takes	1.3322815E-4
tried	1.3291235E-4
turned	1.3282211E-4
ways	1.3268676E-4
gao	1.3264165E-4
note	1.3255142E-4
budget	1.325063E-4
web	1.325063E-4
light	1.3232583E-4
ml	1.3214537E-4
expressed	1.3201003E-4
david	1.3187467E-4
cannot	1.3173932E-4
included	1.3137839E-4
force	1.3101747E-4
lines	1.3088212E-4
journal	1.3061141E-4
looked	1.3043096E-4
despite	1.3038584E-4
design	1.3034072E-4
nation	1.2993468E-4
agree	1.2988957E-4
internet	1.297091E-4
fine	1.2961886E-4
independent	1.2961886E-4
monday	1.2957375E-4
various	1.2957375E-4
cover	1.2939329E-4
committee	1.2939329E-4
looks	1.2930305E-4
toward	1.2907747E-4
education	1.2898723E-4
capital	1.2894212E-4
executive	1.286263E-4
bring	1.283105E-4
easy	1.2813002E-4
los	1.2808491E-4
wrote	1.280398E-4
myself	1.2794956E-4
middle	1.2790445E-4
stay	1.2781422E-4
star	1.2745328E-4
park	1.2740817E-4
reading	1.2736305E-4
difficult	1.2704724E-4
earlier	1.26957E-4
tuesday	1.2686677E-4
decision	1.2677655E-4
seemed	1.2673142E-4
one	1.2668631E-4
alone	1.2628027E-4
hour	1.2600956E-4
miles	1.258291E-4
differences	1.2569375E-4
range	1.255584E-4
areas	1.2537793E-4
television	1.2497189E-4
la	1.2492678E-4
everybody	1.2479143E-4
huh	1.2465609E-4
happened	1.2461096E-4
original	1.2438538E-4
conditions	1.2429515E-4
chief	1.2425003E-4
moved	1.236184E-4
dead	1.2334771E-4
provided	1.2334771E-4
island	1.2334771E-4
visit	1.2325747E-4
felt	1.2321236E-4
museum	1.2321236E-4
attention	1.2321236E-4
fall	1.2312212E-4
please	1.2312212E-4
presence	1.2289654E-4
greater	1.2289654E-4
certainly	1.2280632E-4
species	1.2271608E-4
products	1.2267097E-4
built	1.2244539E-4
particularly	1.2235515E-4
sunday	1.2208446E-4
wants	1.2145283E-4
lives	1.2095655E-4
guys	1.20866316E-4
address	1.20821205E-4
san	1.20821205E-4
plus	1.2073097E-4
price	1.2064074E-4
running	1.2059562E-4
term	1.2059562E-4
rates	1.2027981E-4
complete	1.2009934E-4
trade	1.1991888E-4
police	1.1987376E-4
sounds	1.1982865E-4
dollars	1.194226E-4
road	1.1928725E-4
record	1.1928725E-4
product	1.1924213E-4
simply	1.19151904E-4
file	1.1892632E-4
field	1.188812E-4
method	1.18655626E-4
association	1.1856539E-4
consider	1.1852028E-4
factors	1.1847516E-4
structure	1.18249576E-4
hot	1.177533E-4
california	1.1761795E-4
brought	1.1680586E-4
son	1.16535164E-4
boy	1.16535164E-4
funny	1.16490046E-4
generally	1.1639982E-4
samples	1.163547E-4
organization	1.163547E-4
numbers	1.1617423E-4
benefits	1.1617423E-4
character	1.16129115E-4
foreign	1.16084E-4
moment	1.16084E-4
happen	1.16038886E-4
drive	1.1594865E-4
meet	1.1594865E-4
watching	1.1572307E-4
girl	1.1554261E-4
economy	1.1549749E-4
somebody	1.1545237E-4
st	1.1545237E-4
writing	1.1540726E-4
evil	1.1536214E-4
rights	1.1504633E-4
papers	1.14820745E-4
spent	1.1477563E-4
determine	1.14324466E-4
mail	1.14324466E-4
events	1.1423424E-4
friday	1.1423424E-4
share	1.14144E-4
meeting	1.1409889E-4
played	1.1382819E-4
phone	1.1378308E-4
mice	1.1373796E-4
popular	1.1364772E-4
supposed	1.1346726E-4
george	1.1337703E-4
determined	1.1333191E-4
upon	1.1324168E-4
sound	1.13151444E-4
ability	1.13061215E-4
access	1.1297098E-4
families	1.1283563E-4
justice	1.1270028E-4
chance	1.12655165E-4
discussion	1.12610054E-4
written	1.1247471E-4
playing	1.1233935E-4
staff	1.1215889E-4
previous	1.1193331E-4
significantly	1.11843074E-4
corporate	1.11752845E-4
production	1.11707726E-4
calls	1.11346795E-4
wednesday	1.1121145E-4
angeles	1.110761E-4
spend	1.1071517E-4
domain	1.1048959E-4
republican	1.1017378E-4
patient	1.1008354E-4
entire	1.09948196E-4
received	1.0990308E-4
primary	1.0976773E-4
daily	1.0963238E-4
led	1.0963238E-4
episode	1.0945192E-4
completely	1.0936169E-4
rules	1.0931657E-4
relationship	1.0927145E-4
positive	1.09136105E-4
training	1.0904587E-4
suggest	1.0877517E-4
china	1.08684944E-4
version	1.08639826E-4
key	1.085496E-4
workers	1.0836913E-4
situation	1.0823378E-4
thursday	1.0796308E-4
sample	1.07827735E-4
drugs	1.0755704E-4
killed	1.0751192E-4
containing	1.074668E-4
green	1.07376574E-4
march	1.0715099E-4
project	1.0701564E-4
factor	1.06970525E-4
modern	1.0683518E-4
unless	1.0665471E-4
obtained	1.06609594E-4
published	1.0647425E-4
plans	1.0647425E-4
multiple	1.06023086E-4
followed	1.06023086E-4
lack	1.057975E-4
schools	1.057975E-4
cool	1.0575239E-4
michael	1.0575239E-4
return	1.05571926E-4
tissue	1.0552681E-4
vote	1.0548169E-4
favorite	1.0539146E-4
mostly	1.0534634E-4
collection	1.0516588E-4
il	1.0512076E-4
brain	1.049403E-4
below	1.04714716E-4
credit	1.0462449E-4
indeed	1.0457937E-4
fire	1.0453425E-4
society	1.043989E-4
places	1.04263556E-4
huge	1.04263556E-4
beyond	1.0421844E-4
energy	1.0385751E-4
movies	1.0381239E-4
held	1.0381239E-4
died	1.0376728E-4
sorry	1.0367704E-4
defense	1.0363193E-4
standards	1.0363193E-4
hair	1.03406346E-4
source	1.0313565E-4
enjoy	1.0309053E-4
gore	1.03045415E-4
agencies	1.03045415E-4
base	1.030003E-4
click	1.02955186E-4
highly	1.02955186E-4
decided	1.02955186E-4
ok	1.02684484E-4
loss	1.02594255E-4
changed	1.0250402E-4
mr	1.0245891E-4
names	1.0223332E-4
countries	1.0200774E-4
hold	1.0200774E-4
older	1.0191751E-4
thanks	1.0182728E-4
check	1.0169193E-4
background	1.01646816E-4
developed	1.01646816E-4
experiments	1.016017E-4
june	1.016017E-4
clearly	1.0142123E-4
basis	1.0142123E-4
trial	1.0142123E-4
knows	1.01285885E-4
allowed	1.0124077E-4
offer	1.0110542E-4
wp	1.0110542E-4
effective	1.010603E-4
eat	1.0092495E-4
natural	1.00879835E-4
apparently	1.00879835E-4
directly	1.0074449E-4
named	1.0060914E-4
lived	1.0056402E-4
stage	1.0056402E-4
wait	1.0051891E-4
paid	1.00428675E-4
race	1.00338446E-4
remains	1.0011286E-4
nuclear	9.9977515E-5
account	9.99324E-5
kept	9.988728E-5
necessary	9.975193E-5
distribution	9.96617E-5
official	9.961658E-5
continue	9.943612E-5
choice	9.930077E-5
activities	9.921054E-5
reaction	9.916542E-5
door	9.9120305E-5
write	9.9030076E-5
wonder	9.898496E-5
none	9.8759374E-5
volume	9.8759374E-5
cold	9.862403E-5
sent	9.857891E-5
www	9.835333E-5
kill	9.8263095E-5
xx	9.8263095E-5
step	9.8263095E-5
land	9.794728E-5
serious	9.785705E-5
weight	9.776682E-5
intelligence	9.758636E-5
magazine	9.754124E-5
met	9.7451004E-5
picture	9.718031E-5
bought	9.704496E-5
won	9.681938E-5
starting	9.677426E-5
models	9.668403E-5
leads	9.654868E-5
allow	9.6503565E-5
leading	9.6503565E-5
acid	9.645845E-5
baby	9.6413336E-5
western	9.6413336E-5
ground	9.6413336E-5
software	9.636822E-5
suggests	9.63231E-5
giving	9.627799E-5
concentration	9.623287E-5
king	9.591706E-5
mine	9.582682E-5
designed	9.578171E-5
bank	9.573659E-5
beginning	9.5646355E-5
rock	9.5556126E-5
network	9.5556126E-5
hey	9.551101E-5
appears	9.546589E-5
clinical	9.5195195E-5
genome	9.501473E-5
send	9.49245E-5
simple	9.456357E-5
practice	9.447334E-5
proposed	9.4292875E-5
speech	9.4247756E-5
min	9.420264E-5
beach	9.420264E-5
efforts	9.397706E-5
learn	9.3796596E-5
member	9.366125E-5
accounting	9.361613E-5
nature	9.3435665E-5
attack	9.334543E-5
overall	9.311985E-5
pressure	9.2984505E-5
appropriate	9.289427E-5
blue	9.289427E-5
release	9.289427E-5
year-old	9.289427E-5
gives	9.289427E-5
spending	9.275892E-5
growing	9.262357E-5
unit	9.262357E-5
types	9.2578455E-5
limited	9.2578455E-5
clients	9.2217524E-5
walk	9.2217524E-5
dear	9.217241E-5
sept	9.208218E-5
feeling	9.208218E-5
robert	9.194683E-5
fight	9.18566E-5
chinese	9.181148E-5
eyes	9.1676135E-5
liked	9.1676135E-5
effort	9.15859E-5
comment	9.1270085E-5
direct	9.1270085E-5
insurance	9.1270085E-5
box	9.1270085E-5
contrast	9.122497E-5
planning	9.113474E-5
income	9.108962E-5
republicans	9.099939E-5
reasons	9.077381E-5
commission	9.068358E-5
appear	9.063846E-5
relative	9.059334E-5
hospital	9.0457994E-5
initial	9.0412876E-5
players	9.005195E-5
treated	9.005195E-5
equal	9.005195E-5
mhm	8.982637E-5
target	8.969102E-5
employees	8.9600784E-5
knowledge	8.9510555E-5
created	8.933009E-5
pick	8.928497E-5
critics	8.928497E-5
win	8.9149624E-5
notes	8.9149624E-5
consistent	8.9059395E-5
wish	8.901428E-5
measure	8.901428E-5
senior	8.896916E-5
comments	8.878869E-5
noted	8.869846E-5
larger	8.8653345E-5
fish	8.8563116E-5
parts	8.838265E-5
beautiful	8.833753E-5
cox	8.833753E-5
regions	8.8292414E-5
majority	8.82473E-5
shot	8.815707E-5
daughter	8.802172E-5
date	8.793149E-5
produced	8.788637E-5
totally	8.7841254E-5
actual	8.7841254E-5
impact	8.7796136E-5
style	8.766079E-5
animals	8.766079E-5
resources	8.757056E-5
includes	8.748032E-5
scene	8.7254746E-5
imagine	8.716451E-5
basically	8.716451E-5
yesterday	8.711939E-5
provides	8.6893815E-5
union	8.671335E-5
theory	8.6578E-5
controls	8.6578E-5
features	8.6487766E-5
break	8.6487766E-5
suggested	8.63073E-5
runs	8.63073E-5
search	8.621707E-5
nor	8.621707E-5
critical	8.617195E-5
europe	8.608172E-5
hell	8.608172E-5
williams	8.590126E-5
throughout	8.585614E-5
investigation	8.585614E-5
approximately	8.581102E-5
hands	8.576591E-5
definitely	8.576591E-5
crime	8.576591E-5
weekend	8.576591E-5
receptor	8.5675674E-5
identify	8.5675674E-5
civil	8.563056E-5
anti	8.563056E-5
boston	8.5585445E-5
sales	8.549521E-5
relatively	8.535986E-5
games	8.508917E-5
dog	8.481847E-5
mouse	8.450265E-5
james	8.4367304E-5
tests	8.432219E-5
signal	8.4277075E-5
fbi	8.423196E-5
event	8.414173E-5
sports	8.3916144E-5
explain	8.373568E-5
mark	8.369056E-5
individuals	8.364545E-5
student	8.364545E-5
river	8.355521E-5
seeing	8.337475E-5
finding	8.337475E-5
sign	8.328452E-5
miss	8.319428E-5
leader	8.310405E-5
hate	8.3058934E-5
feet	8.301382E-5
lat	8.301382E-5
ready	8.2968705E-5
begin	8.287847E-5
travel	8.269801E-5
science	8.2562656E-5
online	8.238219E-5
letter	8.233708E-5
organizations	8.233708E-5
cat	8.224684E-5
save	8.220173E-5
annual	8.2156614E-5
stand	8.206638E-5
physical	8.197615E-5
leaders	8.197615E-5
paul	8.1750564E-5
coast	8.170545E-5
established	8.1660335E-5
reduced	8.152499E-5
wonderful	8.152499E-5
taxes	8.147987E-5
european	8.143475E-5
investment	8.138964E-5
length	8.134452E-5
focus	8.134452E-5
politics	8.1254286E-5
require	8.1209175E-5
cdna	8.107382E-5
sell	8.098359E-5
expect	8.098359E-5
plant	8.098359E-5
neither	8.098359E-5
dr	8.098359E-5
whom	8.093847E-5
responsible	8.0848244E-5
married	8.0848244E-5
labor	8.0803125E-5
ita	8.066778E-5
peace	8.0442194E-5
add	8.039708E-5
basic	8.0351965E-5
democratic	8.030685E-5
variety	8.030685E-5
judge	8.030685E-5
store	8.026173E-5
atlanta	8.026173E-5
column	8.012638E-5
quickly	7.9991034E-5
behavior	7.9900805E-5
alternative	7.985569E-5
interested	7.985569E-5
pcr	7.976545E-5
novel	7.972034E-5
learned	7.967522E-5
lots	7.96301E-5
twice	7.9539874E-5
saturday	7.9539874E-5
